Person,Identifier,Note
,,
Vespasian,pers1,
Domitian,pers2,Augustus Germanicus
Lucius Aemilius,pers3,
Lucius,pers4,father of Lucius Aemilius
Nerva,pers5,
Trajan,pers6,Nerva Trajan Augustus Germanicus
Valerian,pers7,
Gallienus,pers8,
Lucius Septimius,pers9,
Publius Septimius,pers10,
Titus,pers11,father of Postumius Varus
Postumius Varus,pers12,
Diana,pers13,
Pius,pers14,pope
Urbanus VIII,pers15,pope
Leo IV,pers16,pope
Sixtus V,pers17,pope
Clement IX,pers18,pope
Clement X,pers19,pope
Marcus Agrippa,pers20,
Lucius,pers21,father of Agrippa
Antoninus,pers22,emperor
Faustina,pers23,wife of Antoninus
Terentia,pers24,Flavola
Gnaeus Statilius,pers25,Menander
Gnaeus Statilius,pers26,Cerdo
Crassus,pers27,father of a Vestal Virgin
Lucius Septimius Severus,pers28,
Marcus,pers29,father of Septimius Severus
Marcus Aurelius,pers30,
Lucius,pers31,father of Marcus Aurelius
Gaius Caprius,pers32,
Gaius,pers33,father of Gaius Caprius
Cerrinia,pers34,
Lucius,pers35,father of Cerrinia
Corellia,pers36,
Gaius,pers37,father of Corellia
Gaius Corellus,pers38,husband of Corellia
Claudius,pers39,emperor
Augustus,pers40,emperor
Prubrius Maebarba,pers41,son of Marcus
Marcus,pers42,father of Prubrius Maebarba
Gaius Octavius Appius,pers43,consul and augur
Marcus Obultronius Cultellus,pers44,prefect of Claudius
