Location,Tags
"urn:cite:shot:epigimg.IMG_2314@0.293,0.3829,0.217,0.0631",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2314@0.055,0.527,0.478,0.0736",urn:cite:hclat:topic.ntpl
"urn:cite:shot:epigimg.IMG_2314@0.055,0.527,0.225,0.0736",urn:cite:hclat:topic.compadj
"urn:cite:shot:epigimg.IMG_2314@0.534,0.5435,0.166,0.0541",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2314@0.66,0.4655,0.21,0.0571",urn:cite:hclat:topic.presactpart
"urn:cite:shot:epigimg.IMG_2496@0.696,0.5826,0.118,0.0435",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2496@0.339,0.494,0.286,0.0631",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_2496@0.38,0.5841,0.139,0.045",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_2496@0.532,0.5841,0.172,0.0495",urn:cite:hclat:topic.ntpl
"urn:cite:shot:epigimg.IMG_2501@0.64,0.3258,0.352,0.0961",urn:cite:hclat:topic.ablsg3
"urn:cite:shot:epigimg.IMG_2501@0.051,0.4204,0.473,0.1021",urn:cite:hclat:topic.ablpl3
"urn:cite:shot:epigimg.IMG_2717@0.698,0.1892,0.167,0.0991",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2717@0.501,0.8018,0.277,0.1201",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2717@0.537,0.6456,0.271,0.1051",urn:cite:hclat:topic.supadj
"urn:cite:shot:epigimg.IMG_2717@0.217,0.4414,0.341,0.1156",urn:cite:hclat:topic.ablsg3
"urn:cite:shot:epigimg.IMG_2717@0.549,0.47,0.312,0.0991",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_2717@0.15,0.7988,0.225,0.0826",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_2719@0.401,0.1847,0.144,0.0991",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_2719@0.529,0.1907,0.262,0.0991",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_2719@0.403,0.2793,0.313,0.0961",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_2721@0.14,0.3003,0.311,0.1426",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2721@0.589,0.1471,0.318,0.1246",urn:cite:hclat:topic.subadj
"urn:cite:shot:epigimg.IMG_2723@0.139,0.2553,0.437,0.1351",urn:cite:hclat:topic.nompl3
"urn:cite:shot:epigimg.IMG_2723@0.068,0.4234,0.638,0.1081",urn:cite:hclat:topic.pftpaspart
"urn:cite:shot:epigimg.IMG_2725@0.235,0.6772,0.501,0.1366",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_2725@0.406,0.5165,0.362,0.1441",urn:cite:hclat:topic.gensg1
,
"urn:cite:shot:epigimg.IMG_4579@0.822,0.5107,0.097,0.036",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_4579@0.852,0.4933,0.093,0.0333",urn:cite:hclat:topic.accsg1
